'2022/8/11/9:13:33',1.259,0.125,0.157,4.2
'2022/8/11/9:13:34',1.259,0.125,0.157,6.2
'2022/8/11/9:13:35',1.259,0.126,0.159,8.3
'2022/8/11/9:13:36',1.259,0.125,0.157,10.4
'2022/8/11/9:13:37',1.259,0.128,0.161,10.4
'2022/8/11/9:13:38',1.259,0.126,0.159,10.4
'2022/8/11/9:13:50',1.260,0.125,0.158,62.5
'2022/8/11/9:13:51',1.259,0.126,0.159,67.7
'2022/8/11/9:13:52',1.256,0.124,0.156,62.5
'2022/8/11/9:13:53',1.258,0.126,0.159,57.3
'2022/8/11/9:13:54',1.258,0.125,0.157,57.3
'2022/8/11/9:13:55',1.258,0.125,0.157,57.3
'2022/8/11/9:13:56',1.258,0.125,0.157,57.3
'2022/8/11/9:13:57',1.258,0.125,0.157,57.3
'2022/8/11/9:13:58',1.259,0.128,0.161,52.1
'2022/8/11/9:13:59',1.258,0.126,0.159,46.9
'2022/8/11/9:14:7',1.258,0.124,0.156,67.7
'2022/8/11/9:14:11',1.258,0.126,0.159,67.7
'2022/8/11/9:14:13',1.256,0.125,0.157,62.5
'2022/8/11/9:14:15',1.256,0.125,0.157,62.5
'2022/8/11/9:14:17',1.258,0.125,0.157,62.5
'2022/8/11/9:14:19',1.258,0.126,0.159,62.5
'2022/8/11/9:14:20',1.258,0.126,0.159,62.5
'2022/8/11/9:14:22',1.258,0.126,0.159,62.5
'2022/8/11/9:14:24',1.258,0.126,0.159,62.5
'2022/8/11/9:14:26',1.258,0.124,0.156,62.5
'2022/8/11/9:14:28',1.256,0.125,0.157,67.7
'2022/8/11/9:14:29',1.256,0.125,0.157,67.7
'2022/8/11/9:14:31',1.256,0.125,0.157,67.7
'2022/8/11/9:14:33',1.256,0.128,0.161,67.7
'2022/8/11/9:14:35',1.256,0.126,0.158,67.7
'2022/8/11/9:14:37',1.256,0.125,0.157,67.7
'2022/8/11/9:14:38',1.256,0.125,0.157,67.7
'2022/8/11/9:14:40',1.256,0.126,0.158,67.7
'2022/8/11/9:14:42',1.256,0.126,0.158,67.7
'2022/8/11/9:14:44',1.255,0.125,0.157,62.5
'2022/8/11/9:14:46',1.255,0.126,0.158,62.5
