datetime,t,Pin,Vin,Iin,D
'2022/8/12/10:31:29',1,0,14.152,0,4.2
'2022/8/12/10:31:30',2,0,14.115,0,6.2
'2022/8/12/10:31:32',3,0,14.149,0,8.3
'2022/8/12/10:31:33',4,0.014,14.146,0.001,10.4
'2022/8/12/10:31:34',5,0.014,14.109,0.001,10.4
'2022/8/12/10:31:35',6,0,14.109,0,10.4
'2022/8/12/10:31:36',7,0.042,14.109,0.003,10.4
'2022/8/12/10:31:37',8,0,14.106,0,8.3
'2022/8/12/10:31:38',9,0.014,14.125,0.001,10.4
'2022/8/12/10:31:39',10,0,14.07,0,8.3
'2022/8/12/10:31:40',11,0,14.129,0,10.4
'2022/8/12/10:31:41',12,0.014,14.101,0.001,12.5
'2022/8/12/10:31:43',13,0.042,14.04,0.003,14.6
'2022/8/12/10:31:44',14,0.042,13.94,0.003,14.6
'2022/8/12/10:31:45',15,0.056,13.938,0.004,16.7
'2022/8/12/10:31:46',16,0.041,13.768,0.003,14.6
'2022/8/12/10:31:47',17,0.042,13.932,0.003,12.5
'2022/8/12/10:31:48',18,0.014,14.039,0.001,14.6
'2022/8/12/10:31:49',19,0.014,13.941,0.001,14.6
'2022/8/12/10:31:50',20,0,13.944,0,16.7
'2022/8/12/10:31:52',21,0.041,13.755,0.003,18.8
'2022/8/12/10:31:53',22,0.054,13.439,0.004,20.8
'2022/8/12/10:31:54',23,0.039,13.021,0.003,18.8
'2022/8/12/10:31:55',24,0.054,13.418,0.004,16.7
'2022/8/12/10:31:56',25,0,13.76,0,18.8
'2022/8/12/10:31:57',26,0.04,13.446,0.003,20.8
'2022/8/12/10:31:58',27,0.065,13.021,0.005,22.9
'2022/8/12/10:32:0',28,0.051,12.69,0.004,20.8
'2022/8/12/10:32:1',29,0.065,12.975,0.005,18.8
'2022/8/12/10:32:2',30,0.054,13.421,0.004,20.8
'2022/8/12/10:32:3',31,0.052,13.009,0.004,18.8
'2022/8/12/10:32:4',32,0.013,13.395,0.001,20.8
'2022/8/12/10:32:5',33,0.052,12.967,0.004,22.9
'2022/8/12/10:32:6',34,0.063,12.662,0.005,25
'2022/8/12/10:32:8',35,0.062,12.441,0.005,22.9
'2022/8/12/10:31:28',36,0.02,20.085,0.001,4.2
'2022/8/12/10:31:29',37,0.06,20.084,0.003,6.2
'2022/8/12/10:31:30',38,0.06,20.084,0.003,8.3
'2022/8/12/10:31:31',39,0.08,20.08,0.004,10.4
'2022/8/12/10:31:32',40,0.06,20.075,0.003,8.3
'2022/8/12/10:31:34',41,0.08,20.075,0.004,10.4
'2022/8/12/10:31:35',42,0.08,20.071,0.004,10.4
'2022/8/12/10:31:36',43,0.08,20.071,0.004,10.4
'2022/8/12/10:31:37',44,0.08,20.071,0.004,10.4
'2022/8/12/10:31:38',45,0.08,20.071,0.004,10.4
'2022/8/12/10:31:39',46,0.1,20.071,0.005,10.4
'2022/8/12/10:31:40',47,0.06,20.069,0.003,8.3
'2022/8/12/10:31:41',48,0.08,20.067,0.004,10.4
'2022/8/12/10:31:43',49,0.1,20.064,0.005,12.5
'2022/8/12/10:31:44',50,0.06,20.061,0.003,10.4
'2022/8/12/10:31:45',51,0.1,20.061,0.005,10.4
'2022/8/12/10:31:46',52,0.1,20.059,0.005,10.4
'2022/8/12/10:31:47',53,0.1,20.058,0.005,10.4
'2022/8/12/10:31:48',54,0.06,20.058,0.003,10.4
'2022/8/12/10:31:49',55,0.08,20.058,0.004,10.4
'2022/8/12/10:31:50',56,0.1,20.055,0.005,12.5
'2022/8/12/10:31:52',57,0.1,20.054,0.005,12.5
'2022/8/12/10:31:53',58,0.12,20.052,0.006,14.6
'2022/8/12/10:31:54',59,0.12,20.05,0.006,14.6
'2022/8/12/10:31:55',60,0.16,20.049,0.008,16.7
