t,Vin,Iin,Pin,Duty
1,19.77,0.004,0.079,4.2
2,19.769,0.003,0.059,6.2
3,19.762,0.006,0.119,8.3
4,19.758,0.001,0.02,10.4
5,19.75,0.005,0.099,12.5
6,19.767,0.003,0.059,14.6
7,19.766,0.006,0.119,16.7
8,19.765,0.006,0.119,16.7
9,19.762,0.006,0.119,16.7
10,19.761,0.008,0.158,18.8
11,19.759,0.006,0.119,16.7
12,19.761,0.009,0.178,14.6
13,19.762,0.004,0.079,16.7
14,19.759,0.008,0.158,18.8
15,19.758,0.006,0.119,16.7
16,19.759,0.008,0.158,14.6
17,19.76,0.008,0.158,14.6
18,19.759,0.006,0.119,12.5
19,19.759,0.005,0.099,12.5
20,19.759,0.006,0.119,12.5
21,19.758,0.004,0.079,10.4
22,19.759,0.005,0.099,8.3
23,19.761,0.005,0.099,10.4
24,19.758,0.005,0.099,10.4
25,19.756,0.004,0.079,8.3
26,19.759,0.001,0.02,10.4
27,19.758,0.005,0.099,12.5
28,19.755,0.006,0.119,14.6
29,19.751,0.008,0.158,16.7
30,19.753,0.003,0.059,18.8
31,19.75,0.008,0.158,20.8
32,19.746,0.01,0.197,22.9
33,19.714,0.021,0.414,25
34,19.6,0.069,1.352,27.1
35,19.169,0.221,4.236,29.2
36,18.176,0.018,0.327,27.1
37,19.179,0.218,4.181,25
38,19.611,0.064,1.255,27.1
39,19.164,0.223,4.274,29.2
40,18.119,0.04,0.725,27.1
41,19.181,0.215,4.124,25
42,19.616,0.064,1.255,27.1
43,19.17,0.218,4.179,29.2
44,18.346,0.034,0.624,27.1
45,19.189,0.22,4.222,25
46,19.625,0.061,1.197,27.1
47,19.204,0.215,4.129,29.2
48,18.191,0.046,0.837,27.1
49,19.185,0.21,4.029,25
50,19.633,0.056,1.099,27.1
51,19.207,0.218,4.187,29.2
52,18.244,0.029,0.529,27.1
53,19.206,0.214,4.11,25
54,19.636,0.059,1.159,27.1
55,19.207,0.213,4.091,29.2
56,18.234,0.044,0.802,27.1
57,19.205,0.21,4.033,25
58,19.639,0.055,1.08,27.1
59,19.259,0.213,4.102,29.2
60,18.211,0.025,0.455,27.1
