DATE,Vin,Iin,Pin,Duty rate
'2022/8/12/10:36:47',19.77,0.004,0.079,4.2
'2022/8/12/10:36:48',19.769,0.003,0.059,6.2
'2022/8/12/10:36:49',19.762,0.006,0.119,8.3
'2022/8/12/10:36:50',19.758,0.001,0.02,10.4
'2022/8/12/10:36:52',19.75,0.005,0.099,12.5
'2022/8/12/10:36:53',19.767,0.003,0.059,14.6
'2022/8/12/10:36:54',19.766,0.006,0.119,16.7
'2022/8/12/10:36:55',19.765,0.006,0.119,16.7
'2022/8/12/10:36:56',19.762,0.006,0.119,16.7
'2022/8/12/10:36:57',19.761,0.008,0.158,18.8
'2022/8/12/10:36:58',19.759,0.006,0.119,16.7
'2022/8/12/10:36:59',19.761,0.009,0.178,14.6
'2022/8/12/10:37:1',19.762,0.004,0.079,16.7
'2022/8/12/10:37:2',19.759,0.008,0.158,18.8
'2022/8/12/10:37:3',19.758,0.006,0.119,16.7
'2022/8/12/10:37:4',19.759,0.008,0.158,14.6
'2022/8/12/10:37:5',19.76,0.008,0.158,14.6
'2022/8/12/10:37:6',19.759,0.006,0.119,12.5
'2022/8/12/10:37:7',19.759,0.005,0.099,12.5
'2022/8/12/10:37:9',19.759,0.006,0.119,12.5
'2022/8/12/10:37:10',19.758,0.004,0.079,10.4
'2022/8/12/10:37:11',19.759,0.005,0.099,8.3
'2022/8/12/10:37:12',19.761,0.005,0.099,10.4
'2022/8/12/10:37:13',19.758,0.005,0.099,10.4
'2022/8/12/10:37:14',19.756,0.004,0.079,8.3
'2022/8/12/10:37:15',19.759,0.001,0.02,10.4
'2022/8/12/10:37:17',19.758,0.005,0.099,12.5
'2022/8/12/10:37:18',19.755,0.006,0.119,14.6
'2022/8/12/10:37:19',19.751,0.008,0.158,16.7
'2022/8/12/10:37:20',19.753,0.003,0.059,18.8
'2022/8/12/10:37:21',19.75,0.008,0.158,20.8
'2022/8/12/10:37:22',19.746,0.01,0.197,22.9
'2022/8/12/10:37:23',19.714,0.021,0.414,25
'2022/8/12/10:37:25',19.6,0.069,1.352,27.1
'2022/8/12/10:37:26',19.169,0.221,4.236,29.2
'2022/8/12/10:37:27',18.176,0.018,0.327,27.1
'2022/8/12/10:37:28',19.179,0.218,4.181,25
'2022/8/12/10:37:29',19.611,0.064,1.255,27.1
'2022/8/12/10:37:30',19.164,0.223,4.274,29.2
'2022/8/12/10:37:31',18.119,0.04,0.725,27.1
'2022/8/12/10:37:32',19.181,0.215,4.124,25
'2022/8/12/10:37:33',19.616,0.064,1.255,27.1
'2022/8/12/10:37:35',19.17,0.218,4.179,29.2
'2022/8/12/10:37:36',18.346,0.034,0.624,27.1
'2022/8/12/10:37:37',19.189,0.22,4.222,25
'2022/8/12/10:37:38',19.625,0.061,1.197,27.1
'2022/8/12/10:37:42',19.204,0.215,4.129,29.2
'2022/8/12/10:37:43',18.191,0.046,0.837,27.1
'2022/8/12/10:37:44',19.185,0.21,4.029,25
'2022/8/12/10:37:45',19.633,0.056,1.099,27.1
'2022/8/12/10:37:46',19.207,0.218,4.187,29.2
'2022/8/12/10:37:48',18.244,0.029,0.529,27.1
'2022/8/12/10:37:49',19.206,0.214,4.11,25
'2022/8/12/10:37:50',19.636,0.059,1.159,27.1
'2022/8/12/10:37:51',19.207,0.213,4.091,29.2
'2022/8/12/10:37:52',18.234,0.044,0.802,27.1
'2022/8/12/10:37:53',19.205,0.21,4.033,25
'2022/8/12/10:37:54',19.639,0.055,1.08,27.1
'2022/8/12/10:37:55',19.259,0.213,4.102,29.2
'2022/8/12/10:37:56',18.211,0.025,0.455,27.1
'2022/8/12/10:37:57',19.223,0.208,3.998,25
'2022/8/12/10:37:58',19.641,0.056,1.1,27.1
'2022/8/12/10:37:59',19.221,0.21,4.036,29.2
'2022/8/12/10:38:0',18.331,0.029,0.532,27.1
'2022/8/12/10:38:1',19.227,0.21,4.038,25
'2022/8/12/10:38:3',19.645,0.054,1.061,27.1
'2022/8/12/10:38:4',19.212,0.211,4.054,29.2
'2022/8/12/10:38:5',18.422,0.031,0.571,27.1
'2022/8/12/10:38:6',19.254,0.204,3.928,25
'2022/8/12/10:38:7',19.648,0.055,1.081,27.1
'2022/8/12/10:38:8',19.226,0.209,4.018,29.2
'2022/8/12/10:38:9',18.306,0.033,0.604,27.1
'2022/8/12/10:38:10',19.236,0.203,3.905,25
'2022/8/12/10:38:11',19.646,0.053,1.041,27.1
'2022/8/12/10:38:12',19.233,0.21,4.039,29.2
'2022/8/12/10:38:13',18.22,0.041,0.747,27.1
'2022/8/12/10:38:14',19.24,0.205,3.944,25
'2022/8/12/10:38:15',19.648,0.05,0.982,27.1
'2022/8/12/10:38:16',19.238,0.21,4.04,29.2
'2022/8/12/10:38:17',18.259,0.038,0.694,27.1
'2022/8/12/10:38:18',19.279,0.2,3.856,25
'2022/8/12/10:38:20',19.65,0.05,0.982,27.1
