t,Vin,Iin,Pin,Duty,,Vout,Iout,Pout,,,,,,,,,,,,,,,
1,20.495,0.009,0.49128,5.2,1,25.644,0.05,1.282,,,,,,,,,,,,,,,
2,20.481,0.011,0.60075,10.4,2,25.65,0.084,2.155,,,,,,,,,,,,,,,2.67
3,20.464,0.033,1.80225,10.4,3,25.644,0.083,2.128,,,,,,,,,,,,,,,
4,20.466,0.023,1.25757,15.6,4,25.649,0.084,2.155,,,,,,,,,,,,,,,
5,20.455,0.033,1.80225,15.6,5,25.64,0.084,2.154,,,,,,,,,,,,,,,
6,20.453,0.05,2.73141,15.6,6,25.644,0.084,2.154,,,,,,,,,,,,,,,
7,20.449,0.038,2.07459,15.6,7,25.64,0.083,2.128,,,,,,,,,,,,,,,
8,20.433,0.031,1.69011,15.6,8,25.652,0.081,2.078,,,,,,,,,,,,,,,
9,20.433,0.049,2.67267,15.6,9,25.654,0.203,5.208,,,,,,,,,,,,,,,
10,20.442,0.034,1.85565,20.8,10,25.66,0.204,5.235,,,,,,,,,,,,,,,
11,20.372,0.105,5.71113,20.8,11,25.739,1.579,40.642,,,,,,,,,,,,,,,
12,20.378,0.1,5.44146,26,12,25.754,1.185,30.518,,,,,,,,,,,,,,,
13,19.759,0.81,42.73335,25,13,25.771,1.123,28.941,,,,,,,,,,,,,,,
14,19.965,0.594,31.66353,25,14,25.878,2.731,70.673,,,,,,,,,,,,,,,
15,19.979,0.591,31.52736,30.2,15,25.941,2.648,68.692,,,,,,,,,,,,,,,
16,18.996,1.496,75.87606,30.2,16,25.974,2.679,69.584,,,,,,,,,,,,,,,
17,19.054,1.469,74.7333,30.2,17,26.036,2.616,68.11,,,,,,,,,,,,,,,
18,19.016,1.47,74.63718,30.2,18,26.008,2.295,59.688,,,,,,,,,,,,,,,
19,19.041,1.481,75.294,29.2,19,26.064,2.309,60.182,,,,,,,,,,,,,,,
20,19.211,1.254,64.32297,29.2,20,26.085,2.279,59.448,,,,,,,,,,,,,,,
21,19.282,1.291,66.46431,29.2,21,26.101,2.29,59.771,,,,,,,,,,,,,,,
22,19.301,1.261,64.98513,34.4,22,26.244,3.308,86.815,,,,,,,,,,,,,,,
23,18.17,2.004,97.22271,34.4,23,26.302,3.261,85.771,,,,,,,,,,,,,,,
24,18.239,1.966,95.74086,34.4,24,26.36,3.208,84.563,,,,,,,,,,,,,,,
25,18.241,1.968,95.84766,34.4,25,26.38,3.164,83.466,,,,,,,,,,,,,,,
26,18.286,1.955,95.44983,39.6,26,26.485,3.628,96.088,,,,,,,,,,,,,,,
27,17.047,2.385,108.55419,39.6,27,26.492,3.548,93.994,,,,,,,,,,,,,,,
28,17.073,2.335,106.43955,44.8,28,26.574,3.496,92.903,,,,,,,,,,,,,,,
29,15.78,2.563,107.98548,44.8,29,26.621,3.47,92.375,,,,,,,,,,,,,,,
30,15.816,2.574,108.6957,43.8,30,26.644,3.554,94.693,,,,,,,,,,,,,,,
31,16.065,2.524,108.26316,43.8,31,26.666,3.554,94.771,,,,,,,,,,,,,,,
32,16.108,2.515,108.16704,49,32,26.689,3.556,94.906,,,,,,,,,,,,,,,
33,14.714,2.544,99.94344,49,33,26.721,3.304,88.286,,,,,,,,,,,,,,,
34,14.72,2.636,103.60134,47.9,34,26.7,3.34,89.178,,,,,,,,,,,,,,,
35,15.015,2.656,106.4796,47.9,35,26.735,3.406,91.059,,,,,,,,,,,,,,,
