DAY,V,I,P,,solar power 1140[Wh/m^2]
'2021/5/25/20:33:23',25.512,0.014,0.357,,
'2021/5/25/20:33:24',25.514,0.014,0.357,,
'2021/5/25/20:33:25',25.516,0.011,0.281,,
'2021/5/25/20:33:26',25.514,0.014,0.357,,
'2021/5/25/20:33:27',25.514,0.014,0.357,,
'2021/5/25/20:33:28',25.514,0.015,0.383,,
'2021/5/25/20:33:29',25.514,0.014,0.357,,
'2021/5/25/20:33:30',25.514,0.013,0.332,,
'2021/5/25/20:33:31',25.514,0.013,0.332,,
'2021/5/25/20:33:33',25.514,0.015,0.383,,
'2021/5/25/20:33:34',25.514,0.014,0.357,,
'2021/5/25/20:33:35',25.511,0.016,0.408,,
'2021/5/25/20:33:36',25.512,0.021,0.536,,
'2021/5/25/20:33:37',25.515,0.02,0.51,,
'2021/5/25/20:33:38',25.515,0.046,1.174,,
'2021/5/25/20:33:39',25.523,0.191,4.875,,
'2021/5/25/20:33:40',25.579,1.018,26.039,,
'2021/5/25/20:33:41',25.631,1.718,44.034,,
'2021/5/25/20:33:42',25.712,2.29,58.88,,
'2021/5/25/20:33:43',25.701,2.706,69.547,,
'2021/5/25/20:33:44',25.786,3.028,78.08,,
'2021/5/25/20:33:45',25.852,3.251,84.045,,
'2021/5/25/20:33:46',25.913,3.27,84.736,,
'2021/5/25/20:33:47',25.959,3.266,84.782,,
'2021/5/25/20:33:48',26.004,3.293,85.631,,
'2021/5/25/20:33:49',26.008,3.13,81.405,,
'2021/5/25/20:33:50',26.029,3.17,82.512,,
'2021/5/25/20:33:51',26.064,3.098,80.746,,
'2021/5/25/20:33:52',26.1,3.191,83.285,,
'2021/5/25/20:33:53',26.116,3.199,83.545,,
'2021/5/25/20:33:54',26.137,3.285,85.86,,
'2021/5/25/20:33:55',26.154,3.245,84.87,,
'2021/5/25/20:33:56',26.185,3.238,84.787,,
'2021/5/25/20:33:57',26.238,3.236,84.906,,
'2021/5/25/20:33:58',26.259,3.279,86.103,,
'2021/5/25/20:33:59',26.264,3.27,85.883,,
'2021/5/25/20:34:0',26.271,3.195,83.936,,
'2021/5/25/20:34:1',26.297,3.03,79.68,,
'2021/5/25/20:34:2',26.325,3.045,80.16,,
'2021/5/25/20:34:3',26.341,3.166,83.396,,
'2021/5/25/20:34:4',26.326,3.168,83.401,,
'2021/5/25/20:34:6',26.363,3.125,82.384,,
'2021/5/25/20:34:7',26.324,3.059,80.525,,
'2021/5/25/20:34:8',26.349,3.116,82.103,,
'2021/5/25/20:34:9',26.336,2.958,77.902,,
'2021/5/25/20:34:10',26.371,2.923,77.082,,
'2021/5/25/20:34:11',26.389,2.791,73.652,,
'2021/5/25/20:34:12',26.414,2.959,78.159,,
'2021/5/25/20:34:13',26.431,3.019,79.795,,
'2021/5/25/20:34:14',21.315,2.894,61.686,,
'2021/5/25/20:34:15',26.439,2.786,73.659,,
'2021/5/25/20:34:16',26.462,2.931,77.56,,
'2021/5/25/20:34:17',26.468,3.003,79.483,,
'2021/5/25/20:34:18',26.438,2.89,76.406,,
'2021/5/25/20:34:19',26.499,2.758,73.084,,
'2021/5/25/20:34:20',26.494,2.889,76.541,,
'2021/5/25/20:34:21',26.489,2.96,78.407,,
'2021/5/25/20:34:22',26.505,2.864,75.91,,
'2021/5/25/20:34:23',26.52,2.701,71.631,,
