datetime,V,I,P,D
'2022/8/11/15:28:10',25.508,0.013,0.332,54.2
'2022/8/11/15:28:11',25.508,0.015,0.383,54.2
'2022/8/11/15:28:12',25.508,0.015,0.383,54.2
'2022/8/11/15:28:13',25.506,0.015,0.383,54.2
'2022/8/11/15:28:14',25.509,0.014,0.357,56.2
'2022/8/11/15:28:15',25.51,0.014,0.357,56.2
'2022/8/11/15:28:16',25.508,0.014,0.357,56.2
'2022/8/11/15:28:17',25.509,0.02,0.51,54.2
'2022/8/11/15:28:18',25.51,0.045,1.148,52.1
'2022/8/11/15:28:19',25.511,0.168,4.286,50
'2022/8/11/15:28:20',25.551,0.956,24.427,52.1
'2022/8/11/15:28:21',25.585,0.94,24.05,54.2
'2022/8/11/15:28:22',25.629,1.628,41.724,52.1
'2022/8/11/15:28:23',25.651,2.183,55.996,50
'2022/8/11/15:28:24',25.718,2.633,67.715,47.9
'2022/8/11/15:28:25',25.736,2.839,73.065,45.8
'2022/8/11/15:28:26',25.819,3.021,77.999,43.8
'2022/8/11/15:28:27',25.874,3.134,81.089,41.7
'2022/8/11/15:28:28',25.881,3.171,82.069,39.6
'2022/8/11/15:28:29',25.93,3.164,82.043,41.7
'2022/8/11/15:28:30',25.954,3.121,81.002,43.8
'2022/8/11/15:28:31',25.954,3.146,81.651,43.8
'2022/8/11/15:28:32',26.009,3.006,78.183,45.8
'2022/8/11/15:28:33',25.938,2.933,76.076,43.8
'2022/8/11/15:28:34',26.039,3.033,78.976,41.7
'2022/8/11/15:28:35',26.036,3.075,80.061,43.8
'2022/8/11/15:28:36',26.006,3.159,82.153,45.8
'2022/8/11/15:28:37',26.076,3.099,80.81,47.9
'2022/8/11/15:28:38',26.131,3.004,78.498,50
'2022/8/11/15:28:39',26.102,2.905,75.826,47.9
'2022/8/11/15:28:40',26.058,2.946,76.767,50
'2022/8/11/15:28:42',26.15,3.06,80.019,47.9
'2022/8/11/15:28:43',26.206,3.013,78.959,50
'2022/8/11/15:28:44',26.137,3.031,79.221,52.1
'2022/8/11/15:28:45',26.177,3.079,80.599,50
'2022/8/11/15:28:46',26.194,3.138,82.197,47.9
'2022/8/11/15:28:47',26.241,3.023,79.327,50
'2022/8/11/15:28:48',26.175,3.01,78.787,47.9
'2022/8/11/15:28:49',26.258,2.931,76.962,50
'2022/8/11/15:28:50',26.284,3.02,79.378,47.9
'2022/8/11/15:28:51',26.275,3.015,79.219,45.8
'2022/8/11/15:28:52',26.296,3.115,81.912,43.8
'2022/8/11/15:28:53',26.344,3.089,81.377,45.8
'2022/8/11/15:28:54',26.33,3.111,81.913,47.9
'2022/8/11/15:28:55',26.36,3.064,80.767,50
'2022/8/11/15:28:56',26.35,2.99,78.787,47.9
'2022/8/11/15:28:57',26.371,3.095,81.618,45.8
'2022/8/11/15:28:58',26.398,2.965,78.27,47.9
'2022/8/11/15:28:59',26.321,2.843,74.831,45.8
'2022/8/11/15:29:0',26.422,3.018,79.742,43.8
'2022/8/11/15:29:1',26.384,3.029,79.917,45.8
'2022/8/11/15:29:2',26.394,2.991,78.944,47.9
'2022/8/11/15:29:3',26.37,2.896,76.368,45.8
'2022/8/11/15:29:4',26.419,3.018,79.733,43.8
'2022/8/11/15:29:5',26.442,3.074,81.283,41.7
'2022/8/11/15:29:6',26.41,2.986,78.86,39.6
'2022/8/11/15:29:7',26.468,2.881,76.254,41.7
'2022/8/11/15:29:8',26.459,2.998,79.324,43.8
'2022/8/11/15:29:9',26.422,3.046,80.481,45.8
'2022/8/11/15:29:10',26.515,2.995,79.412,47.9
'2022/8/11/15:29:11',26.464,3.088,81.721,50
'2022/8/11/15:29:12',26.481,2.963,78.463,52.1
'2022/8/11/15:29:14',26.488,2.889,76.524,54.2
'2022/8/11/15:29:15',26.468,2.978,78.822,56.2
'2022/8/11/15:29:16',26.505,2.984,79.091,54.2
'2022/8/11/15:29:17',26.495,2.96,78.425,52.1
'2022/8/11/15:29:18',26.468,2.916,77.181,50
'2022/8/11/15:29:19',26.496,3.003,79.567,47.9
'2022/8/11/15:29:20',26.473,3.021,79.975,50
'2022/8/11/15:29:21',26.54,2.908,77.178,52.1
'2022/8/11/15:29:22',26.508,2.956,78.358,54.2
'2022/8/11/15:29:23',26.517,2.881,76.395,56.2
'2022/8/11/15:29:24',26.558,2.973,78.957,54.2
'2022/8/11/15:29:25',26.523,2.99,79.304,56.2
'2022/8/11/15:29:26',26.503,2.981,79.005,54.2
'2022/8/11/15:29:27',26.536,2.803,74.38,56.2
'2022/8/11/15:29:28',26.519,2.965,78.629,58.3
'2022/8/11/15:29:29',26.531,3.031,80.415,56.2
'2022/8/11/15:29:30',26.549,3.008,79.859,58.3
'2022/8/11/15:29:31',26.543,3.011,79.921,60.4
